Country_name;country_ISO;Year of Women's Right to Vote;
;;;
Albanie;AL;1920.0;
Arménie;AM;1921.0;
Azerbaïdjan;AZ;1921.0;
Bélarus;BY;1919.0;
Bosnie-Herzégovine;BA;1949.0;
Bulgarie;BG;1944.0;
Chypre;CY;1960.0;
Croatie;HR;1945.0;
Estonie;EE;1918.0;
ex-République yougoslave de Macédoine;ME;1946.0;
Fédération de Russie;RU;1918.0;
Géorgie;GE;1918.0;
Hongrie;HU;1918.0;
Kazakhstan;KZ;1924.0;
Kirghizistan;KG;1918.0;
Lettonie;LV;1918.0;
Lituanie;LT;1919.0;
Monténégro;ME;;
Ouzbékistan;UZ;1938.0;
Pologne;PL;1918.0;
République de Moldova;;1978.0;
République tchèque;CS;1920.0;
Roumanie;RO;1929.0;
Serbie;RS;;
Slovaquie;SK;1920.0;
Slovénie;SI;1945.0;
Tadjikistan;TJ;1924.0;
Turkménistan;TM;1927.0;
Turquie;TR;1930.0;
Ukraine;UA;1919.0;
Allemagne;DE;1918.0;
Andorre;AD;1970.0;
Australie;AU;1902.0;
Autriche;AT;1918.0;
Belgique;BE;1919.0;
Canada;CA;1917.0;
Danemark;DK;1915.0;
Espagne;ES;1931.0;
États-Unis d’Amérique;US;1920.0;
Finlande;FI;1906.0;
France;FR;1944.0;
Grèce;GR;1949.0;
Irlande;IE;1918.0;
Islande;IS;1915.0;
Israël;IL;1948.0;
Italie;IT;1945.0;
Japon;JP;1945.0;
Liechtenstein;LI;1984.0;
Luxembourg;LU;1919.0;
Malte;MT;1947.0;
Monaco;MC;1962.0;
Norvège;NO;1913.0;
Nouvelle-Zélande;NZ;1893.0;
Pays-Bas;NL;1919.0;
Portugal;PT;1931.0;
Royaume-Uni;GB;1918.0;
Saint-Marin;SM;1959.0;
Suède;SE;1919.0;
Suisse;CH;1971.0;
Cambodge ;KH;1955.0;
Chine ;CN;1949.0;
Indonésie ;ID;1945.0;
République populaire démocratique de Corée ;KP;1946.0;
Singapour ;SG;1947.0;
Afrique du Sud ;ZA;1930.0;
India;IN;1950.0;
Brésil ;BR;1932.0;
Mexique;MX;1947.0;